systematic_id ; common_name ; description
YAL028W ; FRT2 ; Tail-anchored ER membrane protein of unknown function
YAL029C ; MYO4 ; Type V myosin motor involved in actin-based transport of cargos
YAL030W ; SNC1 ; Vesicle membrane receptor protein (v-SNARE)
YAL031C ; GIP4 ; Cytoplasmic protein that regulates protein phosphatase 1 Glc7p
YAL032C ; PRP45 ; Protein required for pre-mRNA splicing
YAL033W ; POP5 ; Subunit of both RNase MRP and nuclear RNase P
YAL034C ; FUN19 ; Non-essential protein of unknown function
YAL034W-A ; MTW1 ; Essential component of the MIND kinetochore complex
YAL035W ; FUN12 ; Translation initiation factor eIF5B
YAL036C ; RBG1 ; Member of the DRG family of GTP-binding proteins
YAL037W ; nan ; Putative protein of unknown function
YAL038W ; CDC19 ; Pyruvate kinase
YAL039C ; CYC3 ; Cytochrome c heme lyase (holocytochrome c synthase)
YAL040C ; CLN3 ; G1 cyclin involved in cell cycle progression
YAL041W ; CDC24 ; Guanine nucleotide exchange factor (GEF) for Cdc42p
YAL042W ; ERV46 ; Protein localized to COPII-coated vesicles
YAL043C ; PTA1 ; Subunit of holo-CPF
YAL044C ; GCV3 ; H subunit of the mitochondrial glycine decarboxylase complex
YAL044W-A ; BOL1 ; Mitochondrial matrix protein involved in Fe-S cluster biogenesis
YAL046C ; BOL3 ; Protein involved in Fe-S cluster transfer to mitochondrial clients
YAL047C ; SPC72 ; Gamma-tubulin small complex (gamma-TuSC) receptor
YAL048C ; GEM1 ; Outer mitochondrial membrane GTPase, subunit of the ERMES complex
YAL049C ; AIM2 ; Cytoplasmic protein involved in mitochondrial function or organization
YAL051W ; OAF1 ; Oleate-activated transcription factor
YAL053W ; FLC2 ; Putative calcium channel involved in calcium release under hypotonic
YAL054C ; ACS1 ; Acetyl-coA synthetase isoform
YAL055W ; PEX22 ; Putative peroxisomal membrane protein
YAL056W ; GPB2 ; Multistep regulator of cAMP-PKA signaling
YAL058W ; CNE1 ; Calnexin
YAL059W ; ECM1 ; Pre-ribosomal factor involved in 60S ribosomal protein subunit export
YAL060W ; BDH1 ; NAD-dependent (R,R)-butanediol dehydrogenase
YAL061W ; BDH2 ; Putative medium-chain alcohol dehydrogenase with similarity to BDH1
YAL062W ; GDH3 ; NADP(+)-dependent glutamate dehydrogenase
YAL067C ; SEO1 ; Putative permease
YAR002C-A ; ERP1 ; Member of the p24 family involved in ER to Golgi transport
YAR002W ; NUP60 ; FG-nucleoporin component of central core of the nuclear pore complex
YAR003W ; SWD1 ; Subunit of the COMPASS (Set1C) complex
YAR007C ; RFA1 ; Subunit of heterotrimeric Replication Protein A (RPA)
YAR008W ; SEN34 ; Subunit of the tRNA splicing endonuclease
YAR014C ; BUD14 ; Protein involved in bud-site selection
YAR015W ; ADE1 ; N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase
YAR018C ; KIN3 ; Nonessential serine/threonine protein kinase
YAR019C ; CDC15 ; Hippo-like kinase of the Mitotic Exit Network
YAR020C ; PAU7 ; Member of the seripauperin multigene family
YAR023C ; nan ; Putative integral membrane protein
YAR031W ; PRM9 ; Pheromone-regulated protein
YAR035W ; YAT1 ; Outer mitochondrial carnitine acetyltransferase
YAR042W ; SWH1 ; Protein similar to mammalian oxysterol-binding protein
YAR050W ; FLO1 ; Lectin-like protein involved in flocculation
YBL001C ; ECM15 ; Non-essential protein of unknown function
YBL002W ; HTB2 ; Histone H2B
YBL003C ; HTA2 ; Histone H2A
YBL004W ; UTP20 ; Component of the small-subunit (SSU) processome
YBL005W ; PDR3 ; Transcriptional activator of the pleiotropic drug resistance network
YBL006C ; LDB7 ; Component of the RSC chromatin remodeling complex
YBL007C ; SLA1 ; Cytoskeletal protein binding protein
YBL008W ; HIR1 ; Subunit of the HIR complex
YBL009W ; ALK2 ; Protein kinase
YBL010C ; LAA2 ; Clathrin adaptor (adaptin) accessory protein
YBL011W ; SCT1 ; Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase
YBL013W ; FMT1 ; Methionyl-tRNA formyltransferase
YBL014C ; RRN6 ; Component of the core factor (CF) rDNA transcription factor complex
YBL015W ; ACH1 ; Protein with CoA transferase activity
YBL016W ; FUS3 ; Mitogen-activated serine/threonine protein kinase involved in mating
YBL017C ; PEP1 ; Type I transmembrane sorting receptor for multiple vacuolar hydrolases
YBL018C ; POP8 ; Subunit of both RNase MRP and nuclear RNase P
YBL019W ; APN2 ; Class II abasic (AP) endonuclease involved in repair of DNA damage
YBL020W ; RFT1 ; Membrane protein required for translocation of Man5GlcNac2-PP-Dol
YBL021C ; HAP3 ; Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex
YBL022C ; PIM1 ; ATP-dependent Lon protease
YBL023C ; MCM2 ; Protein involved in DNA replication
YBL024W ; NCL1 ; S-adenosyl-L-methionine-dependent tRNA: m5C-methyltransferase
YBL025W ; RRN10 ; Protein involved in promoting high level transcription of rDNA
YBL026W ; LSM2 ; Lsm (Like Sm) protein
YBL027W ; RPL19B ; Ribosomal 60S subunit protein L19B
YBL028C ; nan ; Protein of unknown function that may interact with ribosomes
YBL029C-A ; nan ; Protein of unknown function
YBL029W ; nan ; Non-essential protein of unknown function
YBL030C ; PET9 ; Major ADP/ATP carrier of the mitochondrial inner membrane
YBL031W ; SHE1 ; Mitotic spindle protein
YBL032W ; HEK2 ; RNA binding protein involved in asymmetric localization of ASH1 mRNA
YBL033C ; RIB1 ; GTP cyclohydrolase II
YBL034C ; STU1 ; Microtubule plus-end-tracking non-motor protein
YBL035C ; POL12 ; B subunit of DNA polymerase alpha-primase complex
YBL036C ; nan ; Putative non-specific single-domain racemase
YBL037W ; APL3 ; Alpha-adaptin
YBL038W ; MRPL16 ; Mitochondrial ribosomal protein of the large subunit
YBL039C ; URA7 ; Major CTP synthase isozyme (see also URA8)
YBL039W-B ; MIN6 ; Mitochondrial protein of unknown function
YBL040C ; ERD2 ; HDEL receptor
YBL041W ; PRE7 ; Beta 6 subunit of the 20S proteasome
YBL042C ; FUI1 ; High affinity uridine permease, localizes to the plasma membrane
YBL043W ; ECM13 ; Non-essential protein of unknown function
YBL045C ; COR1 ; Core subunit of the ubiquinol-cytochrome c reductase complex
YBL046W ; PSY4 ; Regulatory subunit of protein phosphatase PP4
YBL047C ; EDE1 ; Scaffold protein involved in the formation of early endocytic sites
YBL049W ; MOH1 ; Protein of unknown function, essential for stationary phase survival
YBL050W ; SEC17 ; Alpha-SNAP cochaperone
YBL051C ; PIN4 ; Protein involved in G2/M phase progression and response to DNA damage
YBL052C ; SAS3 ; Histone acetyltransferase catalytic subunit of NuA3 complex
YBL054W ; TOD6 ; PAC motif binding protein involved in rRNA and ribosome biogenesis
YBL055C ; nan ; 3'-->5' exonuclease and endonuclease with a possible role in apoptosis
YBL056W ; PTC3 ; Type 2C protein phosphatase (PP2C)
YBL057C ; PTH2 ; One of two mitochondrially-localized peptidyl-tRNA hydrolases
YBL058W ; SHP1 ; UBX domain-containing substrate adaptor for Cdc48p
YBL059C-A ; CMC2 ; Protein involved in respiratory chain complex assembly or maintenance
YBL059W ; IAI11 ; Putative mitochondrial protein of unknown function
YBL060W ; YEL1 ; Guanine nucleotide exchange factor specific for Arf3p
YBL061C ; SKT5 ; Activator of Chs3p (chitin synthase III) during vegetative growth
YBL063W ; KIP1 ; Kinesin-related motor protein
YBL064C ; PRX1 ; Mitochondrial peroxiredoxin with thioredoxin peroxidase activity
YBL066C ; SEF1 ; Putative transcription factor
YBL067C ; UBP13 ; Ubiquitin-specific protease that cleaves Ub-protein fusions
YBL068W ; PRS4 ; 5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase, synthesizes PRPP
YBL071W-A ; KTI11 ; Zn-ribbon protein that co-purifies with Dph1 and Dph2
YBL072C ; RPS8A ; Protein component of the small (40S) ribosomal subunit
YBL074C ; AAR2 ; Component of the U5 snRNP complex
YBL075C ; SSA3 ; ATPase involved in protein folding and the response to stress
YBL076C ; ILS1 ; Cytoplasmic isoleucine-tRNA synthetase
YBL078C ; ATG8 ; Component of autophagosomes and Cvt vesicles
YBL079W ; NUP170 ; Subunit of inner ring of nuclear pore complex (NPC)
YBL080C ; PET112 ; Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex
YBL081W ; nan ; Non-essential protein of unknown function
YBL082C ; ALG3 ; Dolichol-P-Man dependent alpha(1-3) mannosyltransferase
YBL084C ; CDC27 ; Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C)
YBL085W ; BOI1 ; Protein involved in polar growth, functionally redundant with Boi2p
YBL086C ; nan ; Protein of unknown function
YBL087C ; RPL23A ; Ribosomal 60S subunit protein L23A
YBL088C ; TEL1 ; Protein kinase primarily involved in telomere length regulation
YBL089W ; AVT5 ; Putative transporter
YBL090W ; MRP21 ; Mitochondrial ribosomal protein of the small subunit
YBL091C ; MAP2 ; Methionine aminopeptidase
YBL091C-A ; SCS22 ; Protein involved in regulation of phospholipid metabolism
YBL092W ; RPL32 ; Ribosomal 60S subunit protein L32
YBL093C ; ROX3 ; Subunit of the RNA polymerase II mediator complex
YBL095W ; MRX3 ; Protein that associates with mitochondrial ribosome
YBL097W ; BRN1 ; Subunit of the condensin complex
YBL098W ; BNA4 ; Kynurenine 3-monooxygenase
YBL099W ; ATP1 ; Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase
YBL101C ; ECM21 ; Alpha-arrestin, ubiquitin ligase adaptor for Rsp5p
YBL102W ; SFT2 ; Tetra-spanning membrane protein found mostly in the late Golgi
YBL103C ; RTG3 ; bHLH/Zip transcription factor for retrograde (RTG) and TOR pathways
YBL104C ; SEA4 ; Subunit of SEACAT, a subcomplex of the SEA complex
YBL105C ; PKC1 ; Protein serine/threonine kinase
YBL106C ; SRO77 ; Protein with roles in exocytosis and cation homeostasis
YBL107C ; MIX23 ; Mitochondrial intermembrane space protein of unknown function
YBR001C ; NTH2 ; Putative neutral trehalase, required for thermotolerance
YBR002C ; RER2 ; Forms the dehydrodolichyl diphosphate synthase (DDS) complex with NUS1
YBR003W ; COQ1 ; Hexaprenyl pyrophosphate synthetase
YBR004C ; GPI18 ; Functional ortholog of human PIG-V
YBR005W ; RCR1 ; Plasma membrane (PM) ubiquitin ligase-substrate adaptor
YBR006W ; UGA2 ; Succinate semialdehyde dehydrogenase
YBR007C ; DSF2 ; Deletion suppressor of mpt5 mutation
YBR008C ; FLR1 ; Plasma membrane transporter of the major facilitator superfamily
YBR009C ; HHF1 ; Histone H4
YBR011C ; IPP1 ; Cytoplasmic inorganic pyrophosphatase (PPase)
YBR012C ; nan ; Dubious open reading frame
YBR014C ; GRX7 ; Cis-golgi localized monothiol glutaredoxin
YBR015C ; MNN2 ; Alpha-1,2-mannosyltransferase
YBR016W ; nan ; Tail-anchored plasma membrane protein with a conserved CYSTM module
YBR017C ; KAP104 ; Transportin or cytosolic karyopherin beta 2
YBR018C ; GAL7 ; Galactose-1-phosphate uridyl transferase
YBR019C ; GAL10 ; UDP-glucose-4-epimerase
YBR020W ; GAL1 ; Galactokinase
YBR021W ; FUR4 ; Plasma membrane localized uracil permease
YBR022W ; POA1 ; Phosphatase that is highly specific for ADP-ribose 1''-phosphate
YBR023C ; CHS3 ; Chitin synthase III
YBR024W ; SCO2 ; Protein anchored to mitochondrial inner membrane
YBR025C ; OLA1 ; P-loop ATPase with similarity to human OLA1 and bacterial YchF
YBR026C ; ETR1 ; 2-enoyl thioester reductase
YBR028C ; YPK3 ; AGC kinase
YBR029C ; CDS1 ; Phosphatidate cytidylyltransferase (CDP-diglyceride synthetase)
YBR030W ; RKM3 ; Ribosomal lysine methyltransferase
YBR031W ; RPL4A ; Ribosomal 60S subunit protein L4A
YBR033W ; EDS1 ; Putative zinc cluster protein, predicted to be a transcription factor
YBR034C ; HMT1 ; Nuclear SAM-dependent mono- and asymmetric methyltransferase
YBR035C ; PDX3 ; Pyridoxine (pyridoxamine) phosphate oxidase
YBR036C ; CSG2 ; Endoplasmic reticulum membrane protein
YBR037C ; SCO1 ; Copper-binding protein of mitochondrial inner membrane
YBR038W ; CHS2 ; Chitin synthase II
YBR039W ; ATP3 ; Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase
YBR040W ; FIG1 ; Integral membrane protein required for efficient mating
YBR041W ; FAT1 ; Very long chain fatty acyl-CoA synthetase and fatty acid transporter
YBR042C ; CST26 ; Acyltransferase
YBR043C ; QDR3 ; Multidrug transporter of the major facilitator superfamily
YBR044C ; TCM62 ; Protein involved in assembly of the succinate dehydrogenase complex
YBR045C ; GIP1 ; Meiosis-specific regulatory subunit of the Glc7p protein phosphatase
YBR046C ; ZTA1 ; NADPH-dependent quinone reductase
YBR047W ; FMP23 ; Putative protein of unknown function
YBR048W ; RPS11B ; Protein component of the small (40S) ribosomal subunit
YBR049C ; REB1 ; RNA polymerase I enhancer binding protein
YBR050C ; REG2 ; Regulatory subunit of the Glc7p type-1 protein phosphatase
YBR052C ; RFS1 ; Protein of unknown function
YBR053C ; nan ; Putative protein of unknown function
YBR054W ; YRO2 ; Protein with a putative role in response to acid stress
YBR055C ; PRP6 ; Splicing factor
YBR056W ; MRX18 ; Putative glycoside hydrolase of the mitochondrial intermembrane space
YBR056W-A ; MNC1 ; Putative membrane protein upregulated in toxic manganese levels
YBR057C ; MUM2 ; Protein essential for meiotic DNA replication and sporulation
YBR058C ; UBP14 ; Ubiquitin-specific protease
YBR058C-A ; TSC3 ; Protein that stimulates the activity of serine palmitoyltransferase
YBR059C ; AKL1 ; Ser/Thr protein kinase
YBR060C ; ORC2 ; Subunit of the origin recognition complex (ORC)
YBR061C ; TRM7 ; 2'-O-ribose methyltransferase
YBR062C ; nan ; Protein of unknown function that interacts with Msb2p
YBR063C ; nan ; Putative protein of unknown function
YBR065C ; ECM2 ; Pre-mRNA splicing factor
YBR066C ; NRG2 ; Transcriptional repressor
YBR067C ; TIP1 ; Major cell wall mannoprotein with possible lipase activity
YBR068C ; BAP2 ; High-affinity leucine permease
YBR069C ; TAT1 ; Amino acid transporter for valine, leucine, isoleucine, and tyrosine
YBR070C ; ALG14 ; Component of UDP-GlcNAc transferase
YBR071W ; nan ; Protein of unknown function found in the cytoplasm and bud neck
YBR072W ; HSP26 ; Small heat shock protein (sHSP) with chaperone activity
YBR073W ; RDH54 ; DNA-dependent ATPase
YBR074W ; PFF1 ; Multi-spanning vacuolar membrane protease
YBR076W ; ECM8 ; Non-essential protein of unknown function
YBR077C ; SLM4 ; Subunit of the EGO/GSE complex
YBR078W ; ECM33 ; GPI-anchored protein involved in efficient glucose uptake
YBR079C ; RPG1 ; eIF3a subunit of the eukaryotic translation initiation factor 3 (eIF3)
YBR080C ; SEC18 ; AAA ATPase and SNARE disassembly chaperone
YBR081C ; SPT7 ; Subunit of the SAGA transcriptional regulatory complex
YBR082C ; UBC4 ; Ubiquitin-conjugating enzyme (E2)
YBR083W ; TEC1 ; Transcription factor targeting filamentation genes and Ty1 expression
YBR084C-A ; RPL19A ; Ribosomal 60S subunit protein L19A
YBR084W ; MIS1 ; Mitochondrial C1-tetrahydrofolate synthase
YBR085C-A ; nan ; Protein of unknown function
YBR085W ; AAC3 ; Mitochondrial inner membrane ADP/ATP translocator
YBR086C ; IST2 ; Cortical ER protein involved in ER-plasma membrane (PM) tethering
YBR087W ; RFC5 ; Subunit of heteropentameric Replication factor C (RF-C)
YBR088C ; POL30 ; Proliferating cell nuclear antigen (PCNA)
YBR089C-A ; NHP6B ; High-mobility group (HMG) protein
YBR091C ; TIM12 ; Essential protein of the inner mitochondrial membrane
YBR092C ; PHO3 ; Constitutively expressed acid phosphatase similar to Pho5p
YBR093C ; PHO5 ; Repressible acid phosphatase
YBR094W ; PBY1 ; Putative tubulin tyrosine ligase associated with P-bodies
YBR095C ; RXT2 ; Component of the histone deacetylase Rpd3L complex
YBR096W ; nan ; Putative protein of unknown function
YBR097W ; VPS15 ; Serine/threonine protein kinase involved in vacuolar protein sorting
YBR098W ; MMS4 ; Subunit of structure-specific Mms4p-Mus81p endonuclease
YBR101C ; FES1 ; Hsp70 (Ssa1p) nucleotide exchange factor
YBR102C ; EXO84 ; Exocyst subunit with dual roles in exocytosis and spliceosome assembly
YBR103W ; SIF2 ; WD40 repeat-containing subunit of Set3C histone deacetylase complex
YBR104W ; YMC2 ; Putative mitochondrial inner membrane transporter
YBR105C ; VID24 ; GID Complex regulatory subunit
YBR106W ; SND3 ; Protein involved in SRP-independent targeting of substrates to the ER
YBR107C ; IML3 ; Outer kinetochore protein and component of the Ctf19 complex
YBR108W ; AIM3 ; Protein that inhibits barbed-end actin filament elongation
YBR109C ; CMD1 ; Calmodulin
YBR110W ; ALG1 ; Mannosyltransferase
YBR111C ; YSA1 ; Nudix hydrolase family member with ADP-ribose pyrophosphatase activity
YBR111W-A ; SUS1 ; Component of both the SAGA histone acetylase and TREX-2 complexes
YBR112C ; CYC8 ; General transcriptional co-repressor
YBR114W ; RAD16 ; Nucleotide excision repair (NER) protein
YBR115C ; LYS2 ; Alpha aminoadipate reductase
YBR117C ; TKL2 ; Transketolase
YBR118W ; TEF2 ; Translational elongation factor EF-1 alpha
YBR119W ; MUD1 ; U1 snRNP A protein
YBR120C ; CBP6 ; Mitochondrial protein required for translation of the COB mRNA
YBR121C ; GRS1 ; Cytoplasmic and mitochondrial glycyl-tRNA synthase
YBR122C ; MRPL36 ; Mitochondrial ribosomal protein of the large subunit
YBR123C ; TFC1 ; Subunit of RNA polymerase III transcription initiation factor complex
YBR125C ; PTC4 ; Cytoplasmic type 2C protein phosphatase (PP2C)
YBR126C ; TPS1 ; Synthase subunit of trehalose-6-P synthase/phosphatase complex
YBR126W-A ; MEO1 ; Putative protein of unknown function
YBR127C ; VMA2 ; Subunit B of V1 peripheral membrane domain of vacuolar H+-ATPase
YBR128C ; ATG14 ; Autophagy-specific subunit of phosphatidylinositol 3-kinase complex I
YBR129C ; OPY1 ; Protein of unknown function
YBR130C ; SHE3 ; Protein adaptor between Myo4p and the She2p-mRNA complex
YBR131W ; CCZ1 ; Subunit of a heterodimeric guanine nucleotide exchange factor (GEF)
YBR132C ; AGP2 ; Plasma membrane regulator of polyamine and carnitine transport
YBR133C ; HSL7 ; Protein arginine N-methyltransferase
YBR135W ; CKS1 ; Cyclin-dependent protein kinase regulatory subunit and adaptor
YBR136W ; MEC1 ; Genome integrity checkpoint protein and PI kinase superfamily member
YBR137W ; nan ; Protein with a role in ER delivery of tail-anchored membrane proteins
YBR138C ; nan ; Cytoplasmic protein of unknown function
YBR139W ; ATG42 ; Vacuolar serine-type carboxypeptidase
YBR140C ; IRA1 ; GTPase-activating protein
YBR141C ; BMT2 ; Nucleolar S-adenosylmethionine-dependent rRNA methyltransferase
YBR142W ; MAK5 ; Essential nucleolar protein
YBR143C ; SUP45 ; Polypeptide release factor (eRF1) in translation termination
YBR145W ; ADH5 ; Alcohol dehydrogenase isoenzyme V
YBR146W ; MRPS9 ; Mitochondrial ribosomal protein of the small subunit
YBR147W ; RTC2 ; Putative vacuolar membrane transporter for cationic amino acids
YBR148W ; YSW1 ; Protein required for normal prospore membrane formation
YBR149W ; ARA1 ; NADP+ dependent arabinose dehydrogenase
YBR150C ; TBS1 ; Protein of unknown function
YBR151W ; APD1 ; Protein of unknown function
YBR152W ; SPP381 ; mRNA splicing factor, component of U4/U6.U5 tri-snRNP
YBR153W ; RIB7 ; Diaminohydroxyphoshoribosylaminopyrimidine deaminase
YBR154C ; RPB5 ; RNA polymerase subunit ABC27
YBR155W ; CNS1 ; TPR-containing co-chaperone
YBR156C ; SLI15 ; Subunit of the conserved chromosomal passenger complex (CPC)
YBR157C ; ICS2 ; Protein of unknown function
YBR158W ; AMN1 ; Modulator of cell separation and mitotic exit
YBR159W ; IFA38 ; Microsomal beta-keto-reductase
YBR160W ; CDC28 ; Cyclin-dependent kinase (CDK) catalytic subunit
YBR161W ; CSH1 ; Mannosylinositol phosphorylceramide (MIPC) synthase catalytic subunit
YBR162C ; TOS1 ; Covalently-bound cell wall protein of unknown function
YBR162W-A ; YSY6 ; Protein of unknown function
YBR163W ; EXO5 ; Mitochondrial 5'-3' exonuclease and sliding exonuclease
YBR164C ; ARL1 ; Soluble GTPase with a role in regulation of membrane traffic
YBR165W ; UBS1 ; Ubiquitin-conjugating enzyme suppressor that regulates Cdc34p
YBR166C ; TYR1 ; Prephenate dehydrogenase involved in tyrosine biosynthesis
YBR167C ; POP7 ; Subunit of RNase MRP, nuclear RNase P and telomerase
YBR168W ; PEX32 ; Peroxisomal integral membrane protein
YBR169C ; SSE2 ; Member of Hsp110 subclass of the heat shock protein 70 (HSP70) family
YBR170C ; NPL4 ; Substrate-recruiting cofactor of the Cdc48p-Npl4p-Ufd1p segregase
YBR171W ; SEC66 ; Non-essential subunit of Sec63 complex
YBR172C ; SMY2 ; GYF domain protein
YBR173C ; UMP1 ; Chaperone required for correct maturation of the 20S proteasome
YBR175W ; SWD3 ; Essential subunit of the COMPASS (Set1C) complex
YBR176W ; ECM31 ; Ketopantoate hydroxymethyltransferase
YBR177C ; EHT1 ; Acyl-coenzymeA:ethanol O-acyltransferase
YBR179C ; FZO1 ; Mitofusin, protein involved in mitochondrial outer membrane fusion
YBR180W ; DTR1 ; Putative dityrosine transporter of the major facilitator superfamily
YBR181C ; RPS6B ; Protein component of the small (40S) ribosomal subunit
YBR182C ; SMP1 ; MADS-box transcription factor involved in osmotic stress response
YBR183W ; YPC1 ; Alkaline ceramidase
YBR184W ; nan ; Putative protein of unknown function
YBR185C ; MBA1 ; Membrane-associated mitochondrial ribosome receptor
YBR186W ; PCH2 ; Hexameric ring ATPase that remodels chromosome axis protein Hop1p
YBR187W ; GDT1 ; Calcium and manganese transporter with higher affinity for Ca2+
YBR188C ; NTC20 ; Member of the NineTeen Complex (NTC)
YBR189W ; RPS9B ; Protein component of the small (40S) ribosomal subunit
YBR191W ; RPL21A ; Ribosomal 60S subunit protein L21A
YBR192W ; RIM2 ; Mitochondrial pyrimidine nucleotide transporter
YBR193C ; MED8 ; Subunit of the RNA polymerase II mediator complex
YBR194W ; AIM4 ; Protein proposed to be associated with the nuclear pore complex
YBR195C ; MSI1 ; Subunit of chromatin assembly factor I (CAF-1)
YBR196C ; PGI1 ; Glycolytic enzyme phosphoglucose isomerase
YBR197C ; nan ; Protein of unknown function
YBR198C ; TAF5 ; Subunit (90 kDa) of TFIID and SAGA complexes
YBR199W ; KTR4 ; Glycosyltransferase involved in protein glycosylation
YBR200W ; BEM1 ; Protein containing SH3-domains
YBR201C-A ; MIN7 ; Mitochondrial protein of unknown function
YBR201W ; DER1 ; ER membrane protein that promotes export of misfolded polypeptides
YBR202W ; MCM7 ; Component of the Mcm2-7 hexameric helicase complex
YBR203W ; COS111 ; Protein required for antifungal drug ciclopirox olamine resistance
YBR204C ; LDH1 ; Serine hydrolase
YBR205W ; KTR3 ; Putative alpha-1,2-mannosyltransferase
YBR207W ; FTH1 ; Putative high affinity iron transporter
YBR208C ; DUR1,2 ; Urea amidolyase
YBR210W ; ERV15 ; Protein involved in export of proteins from the endoplasmic reticulum
YBR211C ; AME1 ; Essential kinetochore protein associated with microtubules and SPBs
YBR212W ; NGR1 ; RNA binding protein that negatively regulates growth rate
YBR213W ; MET8 ; Bifunctional dehydrogenase and ferrochelatase
YBR214W ; SDS24 ; Protein involved in cell separation during budding
YBR215W ; HPC2 ; Subunit of the HIR complex
YBR216C ; YBP1 ; Protein involved in cellular response to oxidative stress
YBR217W ; ATG12 ; Ubiquitin-like modifier involved in autophagy and the Cvt pathway
YBR218C ; PYC2 ; Pyruvate carboxylase isoform
YBR221C ; PDB1 ; E1 beta subunit of the pyruvate dehydrogenase (PDH) complex
YBR222C ; PCS60 ; Oxalyl-CoA synthetase
YBR223C ; TDP1 ; Tyrosyl-DNA phosphodiesterase I
YBR225W ; nan ; Putative protein of unknown function
YBR227C ; MCX1 ; Non-proteolytic ATPase of the AAA family
YBR228W ; SLX1 ; Endonuclease involved in DNA recombination and repair
YBR229C ; ROT2 ; Glucosidase II catalytic subunit
YBR230C ; OM14 ; Mitochondrial outer membrane receptor for cytosolic ribosomes
YBR230W-A ; COQ21 ; Putative mitochondrial protein of unknown function
YBR231C ; SWC5 ; Component of the SWR1 complex
YBR233W ; PBP2 ; RNA binding protein
YBR233W-A ; DAD3 ; Essential subunit of the Dam1 complex (aka DASH complex)
YBR234C ; ARC40 ; Subunit of the ARP2/3 complex
YBR235W ; VHC1 ; Vacuolar membrane cation-chloride cotransporter (CCC)
YBR236C ; ABD1 ; Methyltransferase
YBR237W ; PRP5 ; RNA helicase in the DEAD-box family
YBR238C ; nan ; Mitochondrial membrane protein
YBR239C ; ERT1 ; Transcriptional regulator
YBR240C ; THI2 ; Transcriptional activator of thiamine biosynthetic genes
YBR241C ; nan ; Putative transporter, member of the sugar porter family
YBR242W ; nan ; 5'-deoxynucleotidase involved in deoxyribonucleoside monophosphate deg
YBR243C ; ALG7 ; UDP-N-acetyl-glucosamine-1-P transferase
YBR244W ; GPX2 ; Phospholipid hydroperoxide glutathione peroxidase
YBR245C ; ISW1 ; ATPase subunit of imitation-switch (ISWI) class chromatin remodelers
YBR246W ; RRT2 ; Methylesterase performing penultimate step of diphthamide biosynthesis
YBR247C ; ENP1 ; Protein associated with U3 and U14 snoRNAs
YBR248C ; HIS7 ; Imidazole glycerol phosphate synthase
